Date,Open,High,Low,Close,Adj Close,Volume
2022-05-16,7.195919,7.210955,6.728316,6.834550,6.834550,47190937737
2022-05-17,6.834157,7.064697,6.779134,6.980031,6.980031,43390593256
2022-05-18,6.980636,7.025181,6.509612,6.509612,6.509612,43443877957
2022-05-19,6.508506,6.748143,6.384600,6.714176,6.714176,47521372945
2022-05-20,6.713883,6.794466,6.449486,6.534976,6.534976,40353331380
2022-05-21,6.534566,6.623167,6.453655,6.572776,6.572776,26088375242
2022-05-22,6.571646,6.729717,6.541264,6.700591,6.700591,29184018670
2022-05-23,6.698904,6.838761,6.423728,6.454358,6.454358,39336073511
2022-05-24,6.455418,6.540530,6.266486,6.480144,6.480144,35827530537
2022-05-25,6.479405,6.539779,6.385794,6.431054,6.431054,32535702828
2022-05-26,6.431775,6.478774,5.902467,6.074711,6.074711,55264415917
2022-05-27,6.071521,6.633670,5.949835,6.319078,6.319078,101781260922
2022-05-28,6.390043,6.452143,6.304801,6.358272,6.358272,41607251282
2022-05-29,6.358156,6.451067,6.238618,6.424027,6.424027,30685519120
2022-05-30,6.423914,6.846015,6.391656,6.814683,6.814683,53566053763
2022-05-31,6.814287,6.842691,6.494102,6.663032,6.663032,52181200381
2022-06-01,6.662309,6.870778,6.190756,6.288614,6.288614,64452335782
2022-06-02,6.288296,6.423091,6.236821,6.404902,6.404902,33622387292
2022-06-03,6.405263,6.418674,6.193643,6.249906,6.249906,31337202464
2022-06-04,6.250825,6.397006,6.194338,6.353567,6.353567,27218311117
2022-06-05,6.353431,6.381585,6.280427,6.311037,6.311037,21958332474
2022-06-06,6.310747,6.564647,6.303041,6.422553,6.422553,39199132133
2022-06-07,6.422607,6.422607,6.093318,6.253524,6.253524,39584358131
2022-06-08,6.251903,6.323180,6.148735,6.174498,6.174498,25497718177
2022-06-09,6.174266,6.289346,6.146609,6.173882,6.173882,21374831019
2022-06-10,6.173804,6.185725,5.839243,5.898810,5.898810,33735343779
2022-06-11,5.900258,5.972702,5.362607,5.464191,5.464191,38868255096
2022-06-12,5.466053,5.499368,4.992461,5.029665,5.029665,55362182014
2022-06-13,5.024882,5.151010,4.144485,4.214506,4.214506,114527646046
2022-06-14,4.216072,4.534758,3.925341,4.335364,4.335364,70882912440
2022-06-15,4.334207,4.944469,3.953783,4.907732,4.907732,87426424071
2022-06-16,4.905945,4.905945,4.250417,4.291052,4.291052,56493436517
2022-06-17,4.292439,4.520878,4.280878,4.443399,4.443399,29924038636
2022-06-18,4.442143,4.502668,3.876232,4.132913,4.132913,50857933490
2022-06-19,4.132533,4.870423,4.000017,4.708544,4.708544,90916066035
2022-06-20,4.708768,4.767319,4.500480,4.689833,4.689833,38890653677
2022-06-21,4.689691,5.413874,4.624347,5.123429,5.123429,82190328197
2022-06-22,5.126168,5.137450,4.800226,4.825422,4.825422,49544783874
2022-06-23,4.824734,5.057605,4.824734,5.003655,5.003655,33927153200
2022-06-24,5.002590,5.333839,5.001466,5.252627,5.252627,40278865803
2022-06-25,5.251518,5.408195,5.116481,5.360503,5.360503,33857655005
2022-06-26,5.359336,6.022842,5.282353,5.726261,5.726261,69150935693
2022-06-27,5.724489,6.145788,5.570996,5.666539,5.666539,75480095656
2022-06-28,5.665119,5.749799,5.196923,5.215426,5.215426,42288004722
2022-06-29,5.218559,5.628173,5.103180,5.480914,5.480914,46773298210
2022-06-30,5.481970,5.484446,4.956985,5.218332,5.218332,44744368285
2022-07-01,5.228038,5.374478,5.070182,5.224557,5.224557,37299678298
2022-07-02,5.226959,5.344327,5.205473,5.265887,5.265887,27837284184
2022-07-03,5.265880,5.317832,5.140558,5.303881,5.303881,22175605575
2022-07-04,5.303478,5.494571,5.207132,5.484125,5.484125,29964037750
2022-07-05,5.480872,5.513260,5.211337,5.329979,5.329979,32003041275
2022-07-06,5.331320,5.458449,5.260197,5.420922,5.420922,31531973418
2022-07-07,5.420611,5.634104,5.376314,5.594713,5.594713,31894063015
2022-07-08,5.594493,5.780681,5.438683,5.494269,5.494269,35252561894
2022-07-09,5.491638,5.553609,5.473490,5.514142,5.514142,20170544933
2022-07-10,5.513911,5.513911,5.277841,5.336049,5.336049,23784431222
2022-07-11,5.336515,5.336515,4.890655,4.915453,4.915453,25919850875
2022-07-12,4.915772,5.005145,4.775493,4.775493,4.775493,23720734564
2022-07-13,4.775353,4.948925,4.660812,4.944288,4.944288,35634506031
2022-07-14,4.942686,5.002948,4.778485,4.983932,4.983932,27804930379
2022-07-15,4.984443,5.132063,4.932301,5.025762,5.025762,29844069404
2022-07-16,5.025352,5.164095,4.932304,5.128606,5.128606,22311561344
2022-07-17,5.129266,5.213345,5.030457,5.030960,5.030960,19906021711
2022-07-18,5.031508,5.494383,5.031508,5.419267,5.419267,45200902967
2022-07-19,5.417260,5.581824,5.254865,5.511090,5.511090,44097452882
2022-07-20,5.511299,6.122064,5.424489,5.610040,5.610040,81556707410
2022-07-21,5.610373,5.659068,5.378510,5.581125,5.581125,39284507191
2022-07-22,5.581968,5.693326,5.353797,5.396746,5.396746,38297515315
2022-07-23,5.394167,5.538054,5.293973,5.441451,5.441451,34180725677
2022-07-24,5.440850,5.499814,5.397548,5.409624,5.409624,29485934177
